Año;Mes;Código;Descripción;Cant.
2024;Enero;140;EXAMEN CLINICO PARCIAL;3
2024;Enero;150;EXAMEN CLINICO COMPLETO;9
2024;Enero;220;RX PERIAPICAL-1 PELICULA;9
2024;Enero;270;BITEWING UNILATERAL;1
2024;Enero;272;BITEWINGS-BILATERAL;4
2024;Enero;274;BITEWINGS-BILATERAL 4 PLACAS;5
2024;Enero;330;ORTOPANTOMOGRAFIA;9
2024;Enero;337;SCANNER 3D(CONE BEAM);2
2024;Enero;470;IMPRESIONES / MODELOS DIAGNÓST.;1
2024;Enero;501;EXAMEN HISTOPATOLÓGICO;1
2024;Enero;1101;PROFILAXIS SUPERFICIAL TOTAL;4
2024;Enero;1110;PROFILAXIS-ADULTO 3 GRUPOS;74
2024;Enero;1120;PROFILAXIS-NIÑO;7
2024;Enero;1203;FLUORACIÓN SILANO NIÑO;4
2024;Enero;1204;FLUORACIÓN SILANO ADULTO;12
2024;Enero;1330;INSTRUCCIÓN DE HIGIENE ORAL;2
2024;Enero;1351;SELLANTE;3
2024;Enero;1355;SESIÓN DE TRATAMIENTO;3
2024;Enero;2139;BLANQUEAMIENTO;1
2024;Enero;2330;RESINA-UNA SUPERF. ANTERIOR;10
2024;Enero;2331;RESINA-DOS SUPERF. ANTERIOR;2
2024;Enero;2332;RESINA TRES SUPERFI ANTERIOR;1
2024;Enero;2385;RESINA-1 SUPERF POST-PERMANENTE;23
2024;Enero;2386;RESINA-2 SUPER POST PERMANENTE;2
2024;Enero;2610;INLAY-PORCEL/CERÁMICA-1 SUPERF.;6
2024;Enero;2620;INLAY-PORCEL/CERÁMICA-2 SUPERF.;2
2024;Enero;2630;INLAY-PORCEL/CERÁMICA-3+ SUPERF;2
2024;Enero;2710;CORONA DE RESINA PROVISORI;1
2024;Enero;2740;CORONA CERÁMICA;3
2024;Enero;2955;REMOCIÓN DE ESPIGA - CORONA;1
2024;Enero;2960;CARILLA VESTIBULAR RESINA;1
2024;Enero;3229;EXODONCIA PRIMARIO;2
2024;Enero;3320;ENDODONCIA PREMOLAR;2
2024;Enero;3330;ENDODONCIA MOLAR;2
2024;Enero;3999;SESIÓN ENDODONCIA;2
2024;Enero;4341;PROFILAXIS PROFUNDA POR GRUPO;11
2024;Enero;4930;REEVALUACIÓN;1
2024;Enero;4940;RETIRO DE SUTURA;3
2024;Enero;4941;CONTROL DE CIRUGIA;2
2024;Enero;6010;CIRUGIA DE IMPLANTES C/U;3
2024;Enero;6020;EXPOSICIÓN DEL IMPLANTE;3
2024;Enero;6025;CORONA IMPLANTO SOPORTADA;1
2024;Enero;6030;PILAR MULTI UNIT Y ADITAMENTOS;1
2024;Enero;6034;PILAR ESTETICO INDIVIDUALIZADO;1
2024;Enero;7004;LABORATORIO PROVISORIO;1
2024;Enero;7006;LABORATORIO PLANO;1
2024;Enero;7010;LABORATORIO INC CEREC;9
2024;Enero;7012;LABORATORIO CORONA IMPLANTOSOPO;2
2024;Enero;7013;LABORATORIO CORONA PORCELANA;2
2024;Enero;7026;LAB. ORTOD. INVISALIGN 2 ARCOS;1
2024;Enero;7210;EXODONCIA A COLGAJO;3
2024;Enero;7240;EXOD.DIENTE INCLUIDO O IMPACTAD;4
2024;Enero;7286;BIOPSIA DE TEJIDOS BLANDOS;1
2024;Enero;8670;CONTROL SIN APARATO;1
2024;Enero;8671;CONTROL ORTODONCIA;65
2024;Enero;9110;URGENCIA;10
2024;Enero;9310;PROGRAMACION;6
2024;Enero;9940;PLANO DE ESTABILIZACIÓN;2
2024;Enero;9942;CONTROL DE PLANO ESTABILIZACIÓN;6
2024;Enero;9951;DESGASTE COSMÉTICO;1
2024;Febrero;140;EXAMEN CLINICO PARCIAL;2
2024;Febrero;150;EXAMEN CLINICO COMPLETO;2
2024;Febrero;220;RX PERIAPICAL-1 PELICULA;1
2024;Febrero;272;BITEWINGS-BILATERAL;1
2024;Febrero;274;BITEWINGS-BILATERAL 4 PLACAS;1
2024;Febrero;330;ORTOPANTOMOGRAFIA;3
2024;Febrero;1101;PROFILAXIS SUPERFICIAL TOTAL;1
2024;Febrero;1110;PROFILAXIS-ADULTO 3 GRUPOS;6
2024;Febrero;1120;PROFILAXIS-NIÑO;3
2024;Febrero;1203;FLUORACIÓN SILANO NIÑO;2
2024;Febrero;1351;SELLANTE;4
2024;Febrero;1355;SESIÓN DE TRATAMIENTO;1
2024;Febrero;2330;RESINA-UNA SUPERF. ANTERIOR;4
2024;Febrero;2331;RESINA-DOS SUPERF. ANTERIOR;1
2024;Febrero;2385;RESINA-1 SUPERF POST-PERMANENTE;1
2024;Febrero;2620;INLAY-PORCEL/CERÁMICA-2 SUPERF.;1
2024;Febrero;2710;CORONA DE RESINA PROVISORI;10
2024;Febrero;2740;CORONA CERÁMICA;1
2024;Febrero;2955;REMOCIÓN DE ESPIGA - CORONA;1
2024;Febrero;3229;EXODONCIA PRIMARIO;2
2024;Febrero;4940;RETIRO DE SUTURA;1
2024;Febrero;6010;CIRUGIA DE IMPLANTES C/U;7
2024;Febrero;6020;EXPOSICIÓN DEL IMPLANTE;7
2024;Febrero;6025;CORONA IMPLANTO SOPORTADA;1
2024;Febrero;6030;PILAR MULTI UNIT Y ADITAMENTOS;7
2024;Febrero;6998;LABORATORIO ESPIGA MUÑÓN;1
2024;Febrero;7004;LABORATORIO PROVISORIO;3
2024;Febrero;7005;LABORATORIO PROVISORIO B;7
2024;Febrero;7006;LABORATORIO PLANO;1
2024;Febrero;7010;LABORATORIO INC CEREC;1
2024;Febrero;7015;LABORATORIO CORONA METALCERÁMIC;3
2024;Febrero;7024;LAB. ORTOD INVISALIGN 1 ARCO;1
2024;Febrero;7210;EXODONCIA A COLGAJO;5
2024;Febrero;8671;CONTROL ORTODONCIA;19
2024;Febrero;8680;RETIRO AP. FIJO POR MAXILAR;1
2024;Febrero;8690;INVISALIGN ORTOD.;1
2024;Febrero;9110;URGENCIA;2
2024;Febrero;9310;PROGRAMACION;2
2024;Marzo;120;EVALUACIÓN PERIODICA;1
2024;Marzo;140;EXAMEN CLINICO PARCIAL;5
2024;Marzo;150;EXAMEN CLINICO COMPLETO;14
2024;Marzo;220;RX PERIAPICAL-1 PELICULA;8
2024;Marzo;272;BITEWINGS-BILATERAL;9
2024;Marzo;274;BITEWINGS-BILATERAL 4 PLACAS;10
2024;Marzo;330;ORTOPANTOMOGRAFIA;25
2024;Marzo;337;SCANNER 3D(CONE BEAM);4
2024;Marzo;1101;PROFILAXIS SUPERFICIAL TOTAL;6
2024;Marzo;1110;PROFILAXIS-ADULTO 3 GRUPOS;98
2024;Marzo;1120;PROFILAXIS-NIÑO;7
2024;Marzo;1201;FLUOR GEL NIÑO;1
2024;Marzo;1203;FLUORACIÓN SILANO NIÑO;5
2024;Marzo;1204;FLUORACIÓN SILANO ADULTO;8
2024;Marzo;1330;INSTRUCCIÓN DE HIGIENE ORAL;1
2024;Marzo;1351;SELLANTE;9
2024;Marzo;1355;SESIÓN DE TRATAMIENTO;1
2024;Marzo;2138;CONTROL BLANQ.;1
2024;Marzo;2139;BLANQUEAMIENTO;1
2024;Marzo;2330;RESINA-UNA SUPERF. ANTERIOR;8
2024;Marzo;2331;RESINA-DOS SUPERF. ANTERIOR;2
2024;Marzo;2385;RESINA-1 SUPERF POST-PERMANENTE;10
2024;Marzo;2620;INLAY-PORCEL/CERÁMICA-2 SUPERF.;3
2024;Marzo;2630;INLAY-PORCEL/CERÁMICA-3+ SUPERF;2
2024;Marzo;2710;CORONA DE RESINA PROVISORI;19
2024;Marzo;2740;CORONA CERÁMICA;4
2024;Marzo;2751;CORONA METAL CERÁMICA;2
2024;Marzo;2950;MUÑÓN INCLUYE RETENCIONES;6
2024;Marzo;2955;REMOCIÓN DE ESPIGA - CORONA;4
2024;Marzo;2960;CARILLA VESTIBULAR RESINA;1
2024;Marzo;2962;CARILLA VESTIBULAR PORCELANA;1
2024;Marzo;3229;EXODONCIA PRIMARIO;1
2024;Marzo;3310;ENDODONCIA ANTERIOR;1
2024;Marzo;3320;ENDODONCIA PREMOLAR;2
2024;Marzo;3348;ENDODONCIA M CON LES O REP;1
2024;Marzo;3425;APICOECT/PERIRAD-MOLAR/1ST ROOT;1
2024;Marzo;3999;SESIÓN ENDODONCIA;2
2024;Marzo;4240;COLGAJO POR GRUPO;1
2024;Marzo;4249;CIR. ÓSEA C/ALARG. CORONARIO;1
2024;Marzo;4341;PROFILAXIS PROFUNDA POR GRUPO;17
2024;Marzo;4940;RETIRO DE SUTURA;3
2024;Marzo;4941;CONTROL DE CIRUGIA;2
2024;Marzo;6020;EXPOSICIÓN DEL IMPLANTE;1
2024;Marzo;6025;CORONA IMPLANTO SOPORTADA;1
2024;Marzo;6030;PILAR MULTI UNIT Y ADITAMENTOS;1
2024;Marzo;6032;PILAR GENGI-HUE Y ADITAMENTOS;1
2024;Marzo;6241;PÓNTICO METAL PORCELANA;1
2024;Marzo;6998;LABORATORIO ESPIGA MUÑÓN;1
2024;Marzo;7004;LABORATORIO PROVISORIO;17
2024;Marzo;7005;LABORATORIO PROVISORIO B;1
2024;Marzo;7006;LABORATORIO PLANO;1
2024;Marzo;7010;LABORATORIO INC CEREC;5
2024;Marzo;7011;LABORATORIO CARILLA VESTIBULAR;1
2024;Marzo;7012;LABORATORIO CORONA IMPLANTOSOPO;2
2024;Marzo;7013;LABORATORIO CORONA PORCELANA;17
2024;Marzo;7015;LABORATORIO CORONA METALCERÁMIC;1
2024;Marzo;7024;LAB. ORTOD INVISALIGN 1 ARCO;2
2024;Marzo;7030;LABORATORIO CEREC CORONA;1
2024;Marzo;7210;EXODONCIA A COLGAJO;2
2024;Marzo;7230;EXOD DIENTE SEMI INCLUIDO ÓSEO;1
2024;Marzo;7240;EXOD.DIENTE INCLUIDO O IMPACTAD;1
2024;Marzo;8670;CONTROL SIN APARATO;1
2024;Marzo;8671;CONTROL ORTODONCIA;80
2024;Marzo;8690;INVISALIGN ORTOD.;1
2024;Marzo;9110;URGENCIA;7
2024;Marzo;9310;PROGRAMACION;13
2024;Marzo;9940;PLANO DE ESTABILIZACIÓN;1
2024;Marzo;9942;CONTROL DE PLANO ESTABILIZACIÓN;1
2024;Abril;140;EXAMEN CLINICO PARCIAL;5
2024;Abril;150;EXAMEN CLINICO COMPLETO;5
2024;Abril;220;RX PERIAPICAL-1 PELICULA;8
2024;Abril;272;BITEWINGS-BILATERAL;5
2024;Abril;274;BITEWINGS-BILATERAL 4 PLACAS;10
2024;Abril;330;ORTOPANTOMOGRAFIA;25
2024;Abril;337;SCANNER 3D(CONE BEAM);4
2024;Abril;1101;PROFILAXIS SUPERFICIAL TOTAL;13
2024;Abril;1110;PROFILAXIS-ADULTO 3 GRUPOS;78
2024;Abril;1120;PROFILAXIS-NIÑO;5
2024;Abril;1203;FLUORACIÓN SILANO NIÑO;5
2024;Abril;1204;FLUORACIÓN SILANO ADULTO;9
2024;Abril;1330;INSTRUCCIÓN DE HIGIENE ORAL;3
2024;Abril;1351;SELLANTE;10
2024;Abril;1355;SESIÓN DE TRATAMIENTO;3
2024;Abril;2139;BLANQUEAMIENTO;1
2024;Abril;2330;RESINA-UNA SUPERF. ANTERIOR;7
2024;Abril;2331;RESINA-DOS SUPERF. ANTERIOR;2
2024;Abril;2380;RESINA-1 SUPERF POST-PRIMARIO;1
2024;Abril;2385;RESINA-1 SUPERF POST-PERMANENTE;20
2024;Abril;6241;PÓNTICO METAL PORCELANA;4
2024;Abril;6998;LABORATORIO ESPIGA MUÑÓN;1
2024;Abril;7001;LABORATORIO REPARACIÓN;1
2024;Abril;7004;LABORATORIO PROVISORIO;1
2024;Abril;7005;LABORATORIO PROVISORIO B;3
2024;Abril;7009;LABORATORIO INCRUST. CERÁMICA;1
2024;Abril;7010;LABORATORIO INC CEREC;12
2024;Abril;7012;LABORATORIO CORONA IMPLANTOSOPO;2
2024;Abril;7013;LABORATORIO CORONA PORCELANA;5
2024;Abril;7015;LABORATORIO CORONA METALCERÁMIC;1
2024;Abril;7026;LAB. ORTOD. INVISALIGN 2 ARCOS;2
2024;Abril;7210;EXODONCIA A COLGAJO;8
2024;Abril;7230;EXOD DIENTE SEMI INCLUIDO ÓSEO;2
2024;Abril;7240;EXOD.DIENTE INCLUIDO O IMPACTAD;5
2024;Abril;8670;CONTROL SIN APARATO;1
2024;Abril;8671;CONTROL ORTODONCIA;62
2024;Abril;8690;INVISALIGN ORTOD.;2
2024;Abril;9110;URGENCIA;8
2024;Abril;9310;PROGRAMACION;6
2024;Abril;9940;PLANO DE ESTABILIZACIÓN;1
